user_id,date,weekday,start_time,duration,category,category_id,location_name,location_category,my_place,location_id,place_id
2,7月7日,3,17:30,01:15,food,1,元氣家族麵飯館 大安店,Restaurant,,5,0
2,7月7日,3,18:45,03:15,lesson,4,SK2 TOEFL,Cramming school,,9,0
2,7月7日,3,22:00,00:40,commute,17,,,,0,0
2,7月7日,3,22:40,0,leisure,10,,,home,0,1
2,7月8日,4,00:30,08:45,sleep,3,,,home,0,1
2,7月8日,4,09:15,00:15,commute,17,,,,0,0
2,7月8日,4,09:30,02:30,work,6,,,company,0,2
2,7月8日,4,12:00,00:40,commute,17,,,,0,0
2,7月8日,4,12:40,00:20,food,1,摩斯漢堡 南港展覽館店,Fast food restaurant,,5,0
2,7月8日,4,13:00,04:00,work,6,,,company,0,2
2,7月8日,4,17:00,00:30,commute,17,,,,0,0
2,7月8日,4,17:30,01:15,food,1,光復牛肉麵,Noodle shop,,5,0
2,7月8日,4,18:45,03:45,lesson,4,SK2 TOEFL,Cramming school,,9,0
2,7月8日,4,22:30,00:30,commute,17,,,,0,0
2,7月8日,4,23:00,0,leisure,10,,,home,0,1
2,7月9日,5,00:30,08:45,sleep,3,,,home,0,1
2,7月9日,5,09:15,00:30,commute,17,,,,0,0
2,7月9日,5,09:45,02:15,work,6,,,company,0,2
2,7月9日,5,12:00,00:35,food,1,摩斯漢堡 內湖店,Fast food restaurant,,5,0
2,7月9日,5,12:35,00:25,commute,17,,,,0,0
2,7月9日,5,13:00,01:00,beauty,16,愛手愛腳,Nail salon,,14,0
2,7月9日,5,14:00,01:00,commute,17,,,,0,0
2,7月9日,5,15:00,04:00,meeting,13,,,school,0,3
2,7月9日,5,19:00,01:00,commute,17,,,,0,0
2,7月9日,5,20:00,01:00,leisure,10,,,home,0,1
2,7月9日,5,21:00,00:10,commute,17,,,,0,0
2,7月9日,5,21:10,00:30,shopping,12,mirawar,,,0,0
2,7月9日,5,21:40,00:10,commute,17,,Shopping mall,,6,0
2,7月9日,5,21:50,01:10,work out,9,world gym,gym,,8,0
2,7月9日,5,23:00,00:10,commute,17,,,,0,0
2,7月9日,5,23:10,0,leisure,10,,,home,0,1
2,7月10日,6,00:30,09:00,sleep,3,,,home,0,1
2,7月10日,6,09:30,00:50,leisure,10,,,home,0,1
2,7月10日,6,10:20,00:40,commute,17,,,,0,0
2,7月10日,6,11:00,00:40,beauty,16,EVA 專業除毛沙龍,Waxing hair removal service,,14,0
2,7月10日,6,11:40,00:10,commute,17,,,,0,0
2,7月10日,6,11:50,00:40,food,1,星馬快餐 Star Horse Express,Asian restaurant,,5,0
2,7月10日,6,12:30,00:30,commute,17,,,,0,0
2,7月10日,6,13:00,04:00,work,6,,,company,0,2
2,7月10日,6,17:00,00:30,commute,17,,,,0,0
2,7月10日,6,17:30,01:15,food,1,,,,0,0
2,7月10日,6,18:45,03:45,lesson,4,SK2 TOEFL,Cramming school,,9,0
2,7月10日,6,22:30,0,commute,17,,,,0,0
2,7月11日,7,00:30,01:00,leisure,10,,,another home,0,1
2,7月11日,7,01:30,08:30,Sleep,3,,,another home,0,1
2,7月11日,7,10:00,00:30,leisure,10,,,another home,0,1
2,7月11日,7,10:30,01:15,commute,17,,,,0,0
2,7月11日,7,11:45,03:45,activities,7,福宴國際創意美食餐廳,Restaurant,,5,0
2,7月11日,7,15:30,01:00,Commute,17,,,,0,0
2,7月11日,7,16:30,01:40,leisure,10,,,another home,0,1
2,7月11日,7,18:10,00:20,Commute,17,,,,0,0
2,7月11日,7,18:30,03:00,hangout,11,一中商圈,Night market,,5,0
2,7月11日,7,21:30,00:30,Commute,17,,,,0,0
2,7月11日,7,22:00,01:00,work,6,7-ELEVEN 昌鴻門市,Convenience store,,21,0
2,7月11日,7,23:00,0,leisure,10,,,another home,0,1
2,7月12日,1,00:00,01:00,food,1,霸氣螃蟹海鮮粥漢口店,Restaurant,,5,0
2,7月12日,1,01:00,01:50,leisure,10,,,another home,0,1
2,7月12日,1,02:50,08:40,Sleep,3,,,another home,0,1
2,7月12日,1,11:30,07:00,leisure,10,,,another home,0,1
2,7月12日,1,18:30,03:00,Commute,17,,,,0,0
2,7月12日,1,21:30,0,leisure,10,,,home,0,1
2,7月13日,2,00:30,09:30,Sleep,3,,,home,0,1
2,7月13日,2,10:00,02:20,leisure,10,,,home,0,1
2,7月13日,2,12:20,00:40,Commute,17,,,,0,0
2,7月13日,2,13:00,03:00,work,6,,,company,0,2
2,7月13日,2,16:00,00:30,Commute,17,,,,0,0
2,7月13日,2,16:30,02:30,beauty,16,HIHI SALON,Beauty salon,,14,0
2,7月13日,2,19:00,00:30,Commute,17,,,,0,0
