user_id,weekday,date,start_time,end_date,end_time,duration,category,category_id,location_category,my_place,location_id,gm_id,place_id
3,1,2020-07-05,10:20,2020-07-05,11:10,00:50,commute,17,,,1,0,0
3,1,2020-07-05,11:10,2020-07-05,18:00,06:50,hangout,11,cafe,,1,4,0
3,1,2020-07-05,18:00,2020-07-05,19:00,01:00,food,1,restaurant,,1,5,0
3,1,2020-07-05,19:00,2020-07-05,19:40,00:40,commute,17,,,1,0,0
3,1,2020-07-05,19:40,2020-07-05,21:00,01:20,leisure,10,,home,1,0,1
3,1,2020-07-05,21:00,2020-07-05,22:30,01:30,work out,9,gym,,1,8,0
3,1,2020-07-05,22:30,2020-07-05,23:00,00:30,food,1,nightmarket,,1,5,0
3,1,2020-07-05,23:00,2020-07-06,01:00,02:00,leisure,10,,home,1,0,1
3,2,2020-07-06,01:00,2020-07-06,09:30,08:30,sleep,3,,home,1,0,1
3,2,2020-07-06,09:30,2020-07-06,12:30,03:00,leisure,10,,home,1,0,1
3,2,2020-07-06,12:30,2020-07-06,13:00,00:30,commute,17,,,1,0,0
3,2,2020-07-06,13:00,2020-07-06,17:00,04:00,work,6,,company,1,0,2
3,2,2020-07-06,17:00,2020-07-06,17:30,00:30,commute,17,,,1,0,0
3,2,2020-07-06,17:30,2020-07-06,19:00,01:30,meeting,13,cafe,,1,4,0
3,2,2020-07-06,19:00,2020-07-06,19:30,00:30,commute,17,,,1,0,0
3,2,2020-07-06,19:30,2020-07-06,20:30,01:00,food,1,Chinese restaurant,,1,5,0
3,2,2020-07-06,20:30,2020-07-07,01:00,04:30,leisure,10,,home,1,0,1
3,3,2020-07-07,01:00,2020-07-07,09:15,08:15,sleep,3,,home,1,0,1
3,3,2020-07-07,09:15,2020-07-07,11:00,01:45,leisure,10,,home,1,0,1
3,3,2020-07-07,11:00,2020-07-07,11:20,00:20,shopping,12,Supermarket,,1,6,0
3,3,2020-07-07,11:20,2020-07-07,12:20,01:00,food,1,,home,1,0,1
3,3,2020-07-07,12:20,2020-07-07,13:00,00:40,commute,17,,,1,0,0
3,3,2020-07-07,13:00,2020-07-07,17:00,04:00,work,6,,company,1,0,2
3,3,2020-07-07,17:00,2020-07-07,17:30,00:30,commute,17,,,1,0,0
3,3,2020-07-07,17:30,2020-07-07,18:45,01:15,food,1,Restaurant,,1,5,0
3,3,2020-07-07,18:45,2020-07-07,22:00,03:15,lesson,4,Cramming school,,1,9,0
3,3,2020-07-07,22:00,2020-07-07,22:40,00:40,commute,17,,,1,0,0
3,3,2020-07-07,22:40,2020-07-08,00:30,01:50,leisure,10,,home,1,0,1
3,4,2020-07-08,00:30,2020-07-08,09:15,08:45,sleep,3,,home,1,0,1
3,4,2020-07-08,09:15,2020-07-08,09:30,00:15,commute,17,,,1,0,0
3,4,2020-07-08,09:30,2020-07-08,12:00,02:30,work,6,,company,1,0,2
3,4,2020-07-08,12:00,2020-07-08,12:40,00:40,commute,17,,,1,0,0
3,4,2020-07-08,12:40,2020-07-08,13:00,00:20,food,1,Fast food restaurant,,1,5,0
3,4,2020-07-08,13:00,2020-07-08,17:00,04:00,work,6,,company,1,0,2
3,4,2020-07-08,17:00,2020-07-08,17:30,00:30,commute,17,,,1,0,0
3,4,2020-07-08,17:30,2020-07-08,18:45,01:15,food,1,Noodle shop,,1,5,0
3,4,2020-07-08,18:45,2020-07-08,22:30,03:45,lesson,4,Cramming school,,1,9,0
3,4,2020-07-08,22:30,2020-07-08,23:00,00:30,commute,17,,,1,0,0
3,4,2020-07-08,23:00,2020-07-09,00:30,01:30,leisure,10,,home,1,0,1
3,5,2020-07-09,00:30,2020-07-09,09:15,08:45,sleep,3,,home,1,0,1
3,5,2020-07-09,09:15,2020-07-09,09:45,00:30,commute,17,,,1,0,0
3,5,2020-07-09,09:45,2020-07-09,12:00,02:15,work,6,,company,1,0,2
3,5,2020-07-09,12:00,2020-07-09,12:35,00:35,food,1,Fast food restaurant,,1,5,0
3,5,2020-07-09,12:35,2020-07-09,13:00,00:25,commute,17,,,1,0,0
3,5,2020-07-09,13:00,2020-07-09,14:00,01:00,beauty,16,Nail salon,,1,14,0
3,5,2020-07-09,14:00,2020-07-09,15:00,01:00,commute,17,,,1,0,0
3,5,2020-07-09,15:00,2020-07-09,19:00,04:00,meeting,13,,school,1,0,3
3,5,2020-07-09,19:00,2020-07-09,20:00,01:00,commute,17,,,1,0,0
3,5,2020-07-09,20:00,2020-07-09,21:00,01:00,leisure,10,,home,1,0,1
3,5,2020-07-09,21:00,2020-07-09,21:10,00:10,commute,17,,,1,0,0
3,5,2020-07-09,21:10,2020-07-09,21:40,00:30,shopping,12,,,1,0,0
3,5,2020-07-09,21:40,2020-07-09,21:50,00:10,commute,17,Shopping mall,,1,6,0
3,5,2020-07-09,21:50,2020-07-09,23:00,01:10,work out,9,gym,,1,8,0
3,5,2020-07-09,23:00,2020-07-09,23:10,00:10,commute,17,,,1,0,0
3,5,2020-07-09,23:10,2020-07-10,00:30,01:20,leisure,10,,home,1,0,1
3,6,2020-07-10,00:30,2020-07-10,09:30,09:00,sleep,3,,home,1,0,1
3,6,2020-07-10,09:30,2020-07-10,10:20,00:50,leisure,10,,home,1,0,1
3,6,2020-07-10,10:20,2020-07-10,11:00,00:40,commute,17,,,1,0,0
3,6,2020-07-10,11:00,2020-07-10,11:40,00:40,beauty,16,Waxing hair removal service,,1,14,0
3,6,2020-07-10,11:40,2020-07-10,11:50,00:10,commute,17,,,1,0,0
