2,2020/6/29,16:00,2020/6/29,19:00,13,4,0
2,2020/6/29,19:00,2020/6/29,20:00,1,5,0
2,2020/6/29,20:00,2020/6/29,20:30,10,0,1
2,2020/6/29,20:30,2020/6/29,21:30,12,6,0
2,2020/6/29,21:30,2020/6/29,23:30,5,0,1
2,2020/6/29,23:30,2020/6/30,00:30,10,0,1
2,2020/6/30,00:30,2020/6/30,08:30,3,0,1
2,2020/6/30,08:30,2020/6/30,09:30,10,0,1
2,2020/6/30,09:30,2020/6/30,10:00,17,0,0
2,2020/6/30,10:00,2020/6/30,11:30,6,0,2
2,2020/6/30,11:30,2020/6/30,13:30,1,5,0
2,2020/6/30,13:30,2020/6/30,15:30,6,0,2
2,2020/6/30,15:30,2020/6/30,16:00,17,0,0
2,2020/6/30,16:00,2020/6/30,18:30,10,0,1
2,2020/6/30,18:30,2020/6/30,19:30,1,5,0
2,2020/6/30,19:30,2020/6/30,20:30,10,0,1
2,2020/6/30,20:30,2020/6/30,21:00,12,6,0
2,2020/6/30,21:00,2020/6/30,22:15,9,8,0
2,2020/6/30,22:15,2020/6/30,22:30,1,5,0
2,2020/6/30,22:30,2020/7/1,00:00,10,0,1
2,2020/7/1,00:00,2020/7/1,08:45,3,0,1
2,2020/7/1,08:45,2020/7/1,09:30,10,0,1
2,2020/7/1,09:30,2020/7/1,10:00,17,0,0
2,2020/7/1,10:00,2020/7/1,12:00,6,0,2
2,2020/7/1,12:00,2020/7/1,13:30,1,5,0
2,2020/7/1,13:30,2020/7/1,15:45,6,0,2
2,2020/7/1,15:45,2020/7/1,16:15,17,0,0
2,2020/7/1,16:15,2020/7/1,18:20,10,0,1
2,2020/7/1,18:20,2020/7/1,18:45,17,0,0
2,2020/7/1,18:45,2020/7/1,22:30,4,9,0
2,2020/7/1,22:30,2020/7/1,22:50,17,0,0
2,2020/7/1,22:50,2020/7/1,23:30,9,8,0
2,2020/7/1,23:30,2020/7/2,00:00,1,0,1
2,2020/7/2,00:00,2020/7/2,01:30,10,0,1
2,2020/7/2,01:30,2020/7/2,08:45,3,0,1
2,2020/7/2,08:45,2020/7/2,09:30,10,0,1
2,2020/7/2,09:30,2020/7/2,10:00,17,0,0
2,2020/7/2,10:00,2020/7/2,12:00,6,0,2
2,2020/7/2,12:00,2020/7/2,13:30,1,5,0
2,2020/7/2,13:30,2020/7/2,15:00,6,0,2
2,2020/7/2,15:00,2020/7/2,16:10,17,0,0
2,2020/7/2,16:10,2020/7/2,21:00,13,0,3
2,2020/7/2,21:00,2020/7/2,22:00,17,0,0
2,2020/7/2,22:00,2020/7/3,00:30,10,0,1
2,2020/7/3,00:30,2020/7/3,08:45,3,0,1
2,2020/7/3,08:45,2020/7/3,09:30,10,0,1
